state_abbr,state,county,fips,population,obesity,diabetes,inactivity
KS,Kansas,Kiowa,20097,"2,374",39.0,11.8,26.5
MI,Michigan,Bay,26017,"102,500",38.0,12.6,26.3
CO,Colorado,El Paso,08041,"744,215",28.3,8.7,18.8
TX,Texas,Ochiltree,48357,"9,704",39.2,14.1,33.4
TX,Texas,Brewster,48043,"9,513",32.8,12.8,24.9
IL,Illinois,Henry,17073,"48,448",36.9,11.9,23.6
NJ,New Jersey,Camden,34007,"527,196",29.8,11.4,26.3
FL,Florida,Madison,12079,"18,519",38.0,16.8,32.5
OK,Oklahoma,Woods,40151,"8,564",36.6,11.1,29.1
IA,Iowa,Cass,19029,"13,130",40.7,13.9,28.6
CA,California,Los Angeles,06037,"9,663,345",26.5,12.6,26.2
ND,North Dakota,Wells,38103,"3,876",37.8,13.8,27.0
GA,Georgia,Randolph,13243,"6,078",45.6,24.9,42.6
CT,Connecticut,Lower Connecticut River Valley,09130,"176,215",29.0,9.4,21.0
NE,Nebraska,Hall,31079,"62,197",41.2,12.0,31.2
VA,Virginia,Northampton,51131,"12,021",39.5,18.5,31.2
KS,Kansas,Gove,20063,"2,735",37.4,12.3,28.3
GA,Georgia,Wheeler,13309,"7,081",41.3,16.0,35.5
MO,Missouri,Perry,29157,"18,950",36.0,12.5,31.0
IL,Illinois,Marion,17121,"36,673",39.5,13.3,27.0
OH,Ohio,Clermont,39025,"211,972",34.7,12.6,25.3
IN,Indiana,Putnam,18133,"37,567",38.4,12.4,24.7
NE,Nebraska,Logan,31113,655,35.9,12.0,26.4
NY,New York,Franklin,36033,"46,502",40.7,12.2,28.9
OH,Ohio,Hancock,39063,"74,704",39.3,12.5,26.7
TX,Texas,Titus,48449,"31,357",38.6,15.6,35.1
LA,Louisiana,Union,22111,"20,650",37.0,18.4,35.9
WA,Washington,Ferry,53019,"7,497",40.2,15.1,25.1
MI,Michigan,Mecosta,26107,"41,099",37.1,12.4,27.2
SD,South Dakota,Lake,46079,"11,031",32.5,12.0,22.5
GA,Georgia,Berrien,13019,"18,570",38.1,16.0,34.0
SD,South Dakota,Brookings,46011,"35,980",35.7,8.5,18.4
MS,Mississippi,Simpson,28127,"25,715",40.2,16.2,35.1
ID,Idaho,Bingham,16011,"50,395",39.0,11.2,24.4
ME,Maine,Oxford,23017,"59,905",35.0,13.7,25.4
IL,Illinois,Putnam,17155,"5,561",36.1,12.1,22.7
VA,Virginia,York,51199,"70,952",31.5,11.1,19.2
TN,Tennessee,Cheatham,47021,"42,254",39.6,12.4,24.6
SD,South Dakota,Marshall,46091,"4,390",35.9,12.7,24.7
UT,Utah,Piute,49031,"1,550",33.0,15.2,26.0
NE,Nebraska,Boyd,31015,"1,725",37.9,14.8,30.5
OH,Ohio,Licking,39089,"183,201",37.5,12.9,24.1
MO,Missouri,Daviess,29061,"8,551",38.4,14.2,33.8
OR,Oregon,Grant,41023,"7,215",33.6,14.6,24.7
NC,North Carolina,Anson,37007,"21,897",43.3,17.2,33.1
LA,Louisiana,Tangipahoa,22105,"138,064",43.0,14.6,30.4
TX,Texas,Jasper,48241,"32,694",41.1,16.3,33.5
OK,Oklahoma,Osage,40113,"46,130",46.4,14.4,31.9
MT,Montana,Garfield,30033,"1,211",30.6,11.5,24.6
WV,West Virginia,Boone,54005,"20,576",46.7,17.3,36.9
GA,Georgia,Turner,13287,"8,909",44.4,18.5,37.8
TX,Texas,Grimes,48185,"32,384",37.1,14.4,30.1
KS,Kansas,Morris,20127,"5,334",36.7,13.5,30.0
TX,Texas,Knox,48275,"3,302",37.8,15.6,32.4
CO,Colorado,Rio Grande,08105,"11,188",27.7,12.2,23.2
ME,Maine,Knox,23013,"40,977",28.8,11.2,21.7
IN,Indiana,Starke,18149,"23,206",42.4,15.0,29.3
IA,Iowa,Appanoose,19007,"12,119",43.4,15.4,31.5
ID,Idaho,Minidoka,16067,"22,480",36.4,12.3,28.9
SC,South Carolina,Florence,45041,"137,214",40.6,15.5,30.1
ND,North Dakota,Bottineau,38009,"6,349",37.7,11.9,24.4
SD,South Dakota,Todd,46121,"9,199",49.3,20.7,40.8
TX,Texas,Archer,48009,"9,029",34.9,12.7,26.5
CO,Colorado,Eagle,08037,"54,381",24.3,8.5,16.3
IL,Illinois,Mercer,17131,"15,487",38.6,12.4,24.4
IN,Indiana,Elkhart,18039,"206,409",43.8,13.6,26.5
IA,Iowa,Worth,19195,"7,297",40.5,12.4,26.0
NE,Nebraska,Sarpy,31153,"199,886",35.9,9.4,21.3
