state_abbr,state,county,fips,population,obesity,diabetes,inactivity
IN,Indiana,Wayne,18177,"66,127",37.9,14.7,28.7
AR,Arkansas,Izard,05065,"14,169",41.2,15.9,37.3
TX,Texas,Stephens,48429,"9,343",36.3,13.8,29.9
IN,Indiana,Dearborn,18029,"51,215",35.8,12.4,24.0
NY,New York,Orange,36071,"407,470",32.2,11.2,26.0
GA,Georgia,Paulding,13223,"183,164",38.4,11.6,23.0
MT,Montana,Phillips,30071,"4,249",38.8,12.0,24.8
VA,Virginia,Manassas,51683,"42,696",35.8,12.0,26.2
WV,West Virginia,Fayette,54019,"39,072",40.5,17.9,35.9
NE,Nebraska,Saunders,31155,"23,463",39.3,10.5,23.5
MI,Michigan,Baraga,26013,"8,310",40.3,14.5,28.6
ND,North Dakota,Bowman,38011,"2,867",36.3,11.4,24.5
MN,Minnesota,Cottonwood,27033,"11,319",39.2,13.1,29.8
AL,Alabama,Monroe,01099,"19,229",43.8,19.7,36.8
TN,Tennessee,Claiborne,47025,"32,654",42.3,15.0,30.3
TX,Texas,Walker,48471,"81,268",39.3,13.3,29.7
TX,Texas,Upshur,48459,"43,281",37.6,13.9,29.6
GA,Georgia,Jackson,13157,"88,615",33.0,11.6,25.6
OH,Ohio,Champaign,39021,"38,845",43.2,12.7,27.5
FL,Florida,Dixie,12029,"17,465",34.7,16.1,32.4
TX,Texas,Panola,48365,"22,838",37.4,13.8,28.7
OK,Oklahoma,Jefferson,40067,"5,347",41.2,16.3,38.3
NV,Nevada,Carson City,32510,"58,036",33.1,12.1,24.9
CA,California,Stanislaus,06099,"551,430",36.4,11.9,30.3
TN,Tennessee,Giles,47055,"30,721",39.8,15.4,28.8
NC,North Carolina,Avery,37011,"17,561",37.1,12.9,25.4
KS,Kansas,Franklin,20059,"26,125",40.3,11.5,27.3
TX,Texas,Carson,48065,"5,878",34.0,11.7,24.2
IA,Iowa,Carroll,19027,"20,522",39.7,12.0,27.2
AR,Arkansas,Union,05139,"37,397",39.4,16.0,36.2
SD,South Dakota,Turner,46125,"9,027",34.0,11.8,24.2
MI,Michigan,Gladwin,26051,"25,853",40.6,15.0,29.2
IN,Indiana,Boone,18011,"76,120",32.9,10.5,18.9
WI,Wisconsin,Oneida,55085,"38,226",35.2,13.8,26.8
MS,Mississippi,Scott,28123,"27,507",43.4,18.3,40.9
TN,Tennessee,Jefferson,47089,"57,838",37.3,13.6,27.1
KS,Kansas,Marion,20115,"11,690",38.7,12.2,27.9
MT,Montana,Powell,30077,"7,133",35.8,11.3,25.1
MA,Massachusetts,Franklin,25011,"70,836",26.3,10.8,22.1
TX,Texas,Cooke,48097,"43,782",36.1,13.0,27.7
OK,Oklahoma,Comanche,40031,"121,574",43.0,12.8,33.1
SC,South Carolina,Saluda,45081,"19,123",43.6,16.8,32.2
SC,South Carolina,Aiken,45003,"177,130",34.4,13.9,26.5
MN,Minnesota,Lincoln,27081,"5,521",36.6,12.0,26.1
FL,Florida,Holmes,12059,"19,944",36.3,14.5,29.5
NE,Nebraska,Cuming,31039,"8,918",40.4,12.1,28.4
GA,Georgia,Webster,13307,"2,337",42.2,21.0,36.4
AK,Alaska,Nome,02180,"9,763",38.6,13.0,29.3
AR,Arkansas,Monroe,05095,"6,512",43.5,19.1,39.6
IL,Illinois,Pope,17151,"3,707",39.6,14.9,26.1
TN,Tennessee,Stewart,47161,"14,222",38.1,14.0,27.6
IN,Indiana,Pulaski,18131,"12,385",38.7,14.5,28.6
KS,Kansas,Sheridan,20179,"2,423",34.0,11.8,26.3
IL,Illinois,Carroll,17015,"15,526",38.8,13.3,25.8
ME,Maine,York,23031,"218,586",33.1,10.4,21.3
SC,South Carolina,Lancaster,45057,"108,215",36.1,14.1,26.5
OH,Ohio,Henry,39069,"27,520",38.6,13.1,28.0
SC,South Carolina,Union,45087,"26,629",44.0,19.1,34.0
WI,Wisconsin,Rock,55105,"164,278",41.9,12.3,29.6
TN,Tennessee,Weakley,47183,"33,084",39.1,13.9,28.9
CA,California,Alameda,06001,"1,622,188",22.8,11.0,20.6
MD,Maryland,Montgomery,24031,"1,058,474",26.1,10.8,19.2
TX,Texas,Robertson,48395,"17,267",37.9,15.4,31.5
OH,Ohio,Shelby,39149,"47,765",39.6,13.3,29.3
KS,Kansas,Cherokee,20021,"19,054",43.8,13.4,30.6
GA,Georgia,Butts,13035,"26,887",38.2,13.8,31.0
TX,Texas,McMullen,48311,568,38.6,17.8,35.5
AR,Arkansas,Randolph,05121,"18,907",41.4,14.7,37.9
IA,Iowa,Hancock,19081,"10,615",42.2,12.6,28.7
AR,Arkansas,Ashley,05003,"18,262",45.1,18.3,41.9
IL,Illinois,Schuyler,17169,"6,733",40.4,14.4,27.3
TX,Texas,Bell,48027,"393,193",43.2,12.6,29.3
NY,New York,Kings,36047,"2,561,225",25.1,12.0,26.2
MS,Mississippi,Bolivar,28011,"28,968",46.5,20.5,42.3
MI,Michigan,Macomb,26099,"875,101",37.5,11.4,26.3
TN,Tennessee,Lauderdale,47097,"24,610",47.2,17.2,34.5
CA,California,Riverside,06065,"2,492,442",36.8,12.4,27.3
OK,Oklahoma,Creek,40037,"73,332",39.8,13.4,31.3
TX,Texas,Irion,48235,"1,549",35.1,13.4,26.7
OR,Oregon,Lane,41039,"381,181",34.3,10.8,19.2
OH,Ohio,Jackson,39079,"32,606",44.9,14.9,33.8
CO,Colorado,Jackson,08057,"1,309",30.0,13.9,25.2
OR,Oregon,Columbia,41009,"53,880",33.5,12.1,22.1
SD,South Dakota,Dewey,46041,"5,208",43.6,18.0,36.3
TX,Texas,Hardin,48199,"58,261",34.0,12.4,26.8
SD,South Dakota,Pennington,46103,"115,903",33.7,12.1,23.3
NC,North Carolina,Alleghany,37005,"11,342",36.5,16.0,29.6
TN,Tennessee,Moore,47127,"6,748",38.8,14.7,28.6
WA,Washington,Thurston,53067,"299,003",31.2,10.3,17.2
IN,Indiana,Warren,18171,"8,518",41.6,14.1,26.7
WV,West Virginia,Taylor,54091,"16,388",42.0,15.9,34.7
TX,Texas,Houston,48225,"22,066",38.2,16.8,33.7
SD,South Dakota,Sully,46119,"1,494",34.7,12.5,23.4
LA,Louisiana,Ascension,22005,"131,632",35.5,12.2,26.1
MO,Missouri,Reynolds,29179,"5,950",41.2,15.9,36.7
NM,New Mexico,Grant,35017,"27,472",32.8,15.9,28.3
GA,Georgia,Clayton,13063,"298,300",45.2,16.2,32.5
TX,Texas,Yoakum,48501,"7,468",37.6,13.5,32.1
AK,Alaska,Ketchikan Gateway,02130,"13,738",37.7,10.1,21.9
MO,Missouri,Grundy,29079,"9,815",39.0,14.3,34.9
VA,Virginia,Stafford,51179,"165,428",35.7,10.7,22.1
IN,Indiana,Jay,18075,"20,032",43.6,15.0,30.6
MN,Minnesota,Kandiyohi,27067,"43,813",40.6,12.3,25.4
OH,Ohio,Meigs,39105,"21,767",44.5,17.3,39.1
FL,Florida,St. Lucie,12111,"373,586",31.5,14.5,27.0
MO,Missouri,Sullivan,29211,"5,797",40.1,15.1,35.4
KS,Kansas,Washington,20201,"5,504",34.0,11.9,28.4
NC,North Carolina,Halifax,37083,"47,298",42.6,19.4,35.2
WA,Washington,Asotin,53003,"22,549",35.3,12.6,21.6
MO,Missouri,Benton,29015,"20,552",38.9,16.7,34.7
MT,Montana,Broadwater,30007,"8,032",30.7,10.4,21.6
CA,California,Santa Cruz,06087,"261,547",25.8,10.2,20.7
WI,Wisconsin,Shawano,55115,"41,109",40.4,12.9,30.0
MO,Missouri,Linn,29115,"11,791",35.7,13.5,32.9
FL,Florida,Marion,12083,"409,959",36.4,14.9,26.6
GA,Georgia,Glynn,13127,"86,172",35.1,15.3,28.2
AK,Alaska,Fairbanks North Star,02090,"94,840",35.3,7.9,21.2
ID,Idaho,Caribou,16029,"7,219",34.8,10.5,24.0
AL,Alabama,Calhoun,01015,"116,429",38.6,14.8,31.9
NE,Nebraska,Pawnee,31133,"2,512",37.5,14.4,33.2
TX,Texas,Leon,48289,"16,538",36.2,15.3,30.5
LA,Louisiana,LaSalle,22059,"14,800",38.6,13.1,30.2
CO,Colorado,Adams,08001,"533,365",33.2,9.7,22.8
OH,Ohio,Sandusky,39143,"58,709",40.7,14.4,29.3
VA,Virginia,Charles City,51036,"6,610",42.1,19.4,31.9
NH,New Hampshire,Hillsborough,33011,"427,354",33.1,9.2,22.2
VA,Virginia,Portsmouth,51740,"96,793",40.8,15.8,30.0
IN,Indiana,Jefferson,18077,"33,056",36.6,13.5,25.3
DE,Delaware,Kent,10001,"189,789",43.5,14.3,31.6
VA,Virginia,Richmond,51760,"229,247",37.7,12.9,25.4
GA,Georgia,Richmond,13245,"205,414",36.6,16.7,30.5
IA,Iowa,Wapello,19179,"35,166",41.7,13.5,30.7
AL,Alabama,Lawrence,01079,"33,502",39.5,15.5,31.1
IL,Illinois,Livingston,17105,"35,320",35.9,12.2,25.4
NM,New Mexico,Colfax,35007,"12,255",31.5,15.5,27.5
GA,Georgia,Dooly,13093,"10,981",41.0,18.3,34.4
VA,Virginia,Gloucester,51073,"40,057",35.8,12.8,23.8
UT,Utah,Utah,49049,"719,174",29.7,6.9,14.2
WY,Wyoming,Sweetwater,56037,"41,249",36.3,11.1,27.2
AZ,Arizona,Cochise,04003,"124,640",31.2,13.7,26.0
IL,Illinois,De Witt,17039,"15,365",38.2,12.2,24.2
CO,Colorado,Sedgwick,08115,"2,299",28.0,13.0,23.1
LA,Louisiana,Bossier,22015,"129,795",40.9,13.2,29.9
SD,South Dakota,Corson,46031,"3,782",43.5,19.9,37.3
CO,Colorado,Gunnison,08051,"17,321",23.8,7.1,14.2
NE,Nebraska,Garden,31069,"1,794",40.2,15.5,32.6
WI,Wisconsin,Florence,55037,"4,682",37.5,14.3,29.4
VA,Virginia,Richmond,51159,"9,184",37.1,15.1,30.0
CA,California,Mariposa,06043,"16,919",30.5,13.5,24.6
MO,Missouri,Ralls,29173,"10,489",40.1,14.1,32.6
IL,Illinois,Bond,17005,"16,450",39.0,11.6,24.2
VA,Virginia,Lancaster,51103,"10,859",35.1,18.1,29.2
MN,Minnesota,Pope,27121,"11,400",38.9,12.2,25.1
MS,Mississippi,Lamar,28073,"66,217",38.7,12.4,29.4
OK,Oklahoma,Roger Mills,40129,"3,295",40.3,14.6,33.5
NC,North Carolina,Robeson,37155,"117,365",47.9,18.4,35.6
MI,Michigan,St. Joseph,26149,"60,878",38.3,12.8,26.2
IA,Iowa,Page,19145,"15,014",42.9,13.6,29.3
OH,Ohio,Delaware,39041,"231,636",31.5,10.1,17.7
LA,Louisiana,West Baton Rouge,22121,"28,266",41.6,14.0,28.1
KS,Kansas,Allen,20001,"12,412",37.4,12.5,29.3
NE,Nebraska,Butler,31023,"8,459",38.6,11.3,27.3
OK,Oklahoma,Marshall,40095,"15,970",39.4,15.7,37.3
GA,Georgia,Liberty,13179,"69,210",32.3,11.6,27.9
VA,Virginia,Amelia,51007,"13,480",39.3,16.6,30.3
IA,Iowa,Clay,19041,"16,511",35.2,12.3,26.5
OK,Oklahoma,Murray,40099,"13,754",41.4,14.3,34.9
FL,Florida,Walton,12131,"86,354",30.1,12.3,22.0
NY,New York,Schoharie,36095,"30,105",32.4,11.3,25.3
MS,Mississippi,Tate,28137,"28,261",36.1,14.2,32.8
GA,Georgia,Muscogee,13215,"201,877",40.3,15.0,29.8
ND,North Dakota,Pembina,38067,"6,661",41.9,12.8,26.5
VT,Vermont,Franklin,50011,"50,994",36.9,9.6,21.5
TX,Texas,Hidalgo,48215,"898,471",44.2,17.4,37.5
IL,Illinois,Hardin,17069,"3,569",39.7,14.7,27.4
TX,Texas,Swisher,48437,"6,955",40.5,16.6,36.9
IN,Indiana,Owen,18119,"21,532",41.7,14.5,27.5
MN,Minnesota,Freeborn,27047,"30,515",36.0,12.9,30.0
TX,Texas,Freestone,48161,"20,441",38.2,14.7,30.1
TX,Texas,Gillespie,48171,"27,733",32.8,13.6,25.6
WV,West Virginia,Ohio,54069,"41,194",39.5,15.0,29.8
FL,Florida,Hardee,12049,"25,760",39.9,15.6,33.9
WY,Wyoming,Niobrara,56027,"2,354",36.3,13.0,30.2
IA,Iowa,Monroe,19135,"7,504",38.2,11.7,25.4
FL,Florida,Okaloosa,12091,"218,464",30.7,10.8,22.8
WI,Wisconsin,Calumet,55015,"53,199",33.3,10.3,25.3
MO,Missouri,Newton,29145,"60,677",38.8,13.4,31.4
HI,Hawaii,Maui,15009,"164,183",26.2,12.2,20.5
RI,Rhode Island,Kent,44003,"171,278",33.0,11.8,23.7
OH,Ohio,Wayne,39169,"116,510",37.5,12.9,27.3
GA,Georgia,Walton,13297,"106,702",38.3,13.0,28.0
SC,South Carolina,Horry,45051,"397,478",32.3,14.9,25.0
TX,Texas,Harris,48201,"4,835,125",37.3,13.2,26.8
IA,Iowa,Davis,19051,"9,169",37.5,12.0,28.4
AZ,Arizona,La Paz,04012,"16,710",33.2,17.5,32.1
IL,Illinois,Clay,17025,"12,999",41.5,13.9,27.8
OH,Ohio,Portage,39133,"162,665",32.9,11.8,25.0
WI,Wisconsin,Iron,55051,"6,228",34.7,14.8,30.4
FL,Florida,Baker,12003,"28,368",35.3,12.3,27.7
MT,Montana,Mineral,30061,"5,090",36.0,12.8,25.0
ND,North Dakota,Barnes,38003,"10,726",37.7,11.5,23.8
UT,Utah,Cache,49005,"142,393",27.9,7.8,15.5
NM,New Mexico,San Juan,35045,"120,675",35.1,14.5,26.5
NE,Nebraska,Saline,31151,"14,555",40.4,11.8,29.2
ID,Idaho,Twin Falls,16083,"95,156",33.3,11.0,27.8
AR,Arkansas,Hempstead,05057,"19,343",45.6,16.6,39.7
IA,Iowa,Bremer,19017,"25,307",37.6,9.9,22.4
NC,North Carolina,Catawba,37035,"164,645",37.4,12.1,24.3
CA,California,Monterey,06053,"430,723",31.1,12.5,27.0
LA,Louisiana,St. John the Baptist,22095,"39,592",41.8,17.2,31.7
IN,Indiana,Greene,18055,"31,196",40.7,14.7,28.4
TN,Tennessee,Crockett,47033,"13,982",42.1,15.5,30.9
IL,Illinois,Effingham,17049,"34,331",34.3,11.3,22.8
TX,Texas,Van Zandt,48467,"64,000",36.0,13.4,28.7
AK,Alaska,Sitka,02220,"8,282",29.8,9.9,19.2
CO,Colorado,Boulder,08013,"326,831",16.7,7.1,12.1
NY,New York,Oneida,36065,"227,555",36.1,11.5,28.1
GA,Georgia,McIntosh,13191,"11,501",40.7,20.4,36.9
IA,Iowa,Louisa,19115,"10,513",40.2,12.8,28.9
IN,Indiana,Allen,18003,"394,545",39.4,12.9,22.9
GA,Georgia,Tattnall,13267,"24,296",40.7,16.0,34.9
AL,Alabama,Winston,01133,"23,611",39.1,16.5,34.1
WV,West Virginia,Randolph,54083,"27,350",45.9,16.0,33.4
CA,California,Tulare,06107,"479,468",35.0,13.1,32.6
SD,South Dakota,Mellette,46095,"1,851",45.6,21.1,38.5
VA,Virginia,Danville,51590,"41,837",41.7,19.9,35.6
NY,New York,Chenango,36017,"45,920",36.3,12.3,27.8
MN,Minnesota,Carver,27019,"111,057",32.0,8.5,19.0
UT,Utah,Emery,49015,"10,144",30.6,11.2,20.1
TX,Texas,Edwards,48137,"1,393",38.2,19.3,36.4
KS,Kansas,Bourbon,20011,"14,408",36.7,12.7,30.9
WV,West Virginia,Hampshire,54027,"23,649",39.2,16.9,33.9
LA,Louisiana,Natchitoches,22069,"36,291",40.1,15.5,32.1
KS,Kansas,Pottawatomie,20149,"26,382",35.8,9.7,23.8
VA,Virginia,Louisa,51109,"41,037",36.7,14.1,25.4
IL,Illinois,Gallatin,17059,"4,670",40.8,14.6,28.2
KS,Kansas,Ellis,20051,"28,810",36.5,9.8,23.6
MN,Minnesota,Hubbard,27057,"22,132",35.4,13.3,24.4
MO,Missouri,New Madrid,29143,"15,424",43.2,16.1,39.0
IN,Indiana,St. Joseph,18141,"272,848",35.3,12.9,26.5
TX,Texas,Bosque,48035,"18,996",35.9,14.3,28.2
MS,Mississippi,Pontotoc,28115,"31,535",38.9,13.8,34.2
TX,Texas,Jefferson,48245,"251,496",41.3,15.6,31.9
KS,Kansas,Linn,20107,"9,860",37.2,12.5,27.8
TX,Texas,Lamb,48279,"12,711",40.0,16.6,35.9
MI,Michigan,Muskegon,26121,"176,564",44.3,12.7,27.9
TX,Texas,Calhoun,48057,"19,696",34.8,14.7,31.3
IL,Illinois,Peoria,17143,"177,513",34.8,12.6,23.5
AR,Arkansas,Madison,05087,"17,775",40.8,13.9,35.2
VA,Virginia,Fredericksburg,51630,"28,928",39.5,10.2,22.8
CA,California,Humboldt,06023,"133,985",31.3,11.4,23.7
LA,Louisiana,West Feliciana,22125,"15,371",40.7,14.6,28.5
MN,Minnesota,Rice,27131,"67,948",37.5,10.1,25.5
TN,Tennessee,Hamblen,47063,"66,216",40.5,15.2,31.1
WA,Washington,Lewis,53041,"86,154",39.0,12.1,22.4
AZ,Arizona,Pinal,04021,"484,239",38.4,12.9,25.5
FL,Florida,Citrus,12017,"166,696",32.3,15.8,28.8
SC,South Carolina,Chester,45023,"32,226",37.9,16.9,32.8
VA,Virginia,Clarke,51043,"15,466",32.8,12.2,22.9
GA,Georgia,Heard,13149,"12,034",35.6,14.3,30.6
KS,Kansas,Jackson,20085,"13,368",37.8,12.3,27.2
NC,North Carolina,Mitchell,37121,"14,999",37.2,12.8,24.9
TX,Texas,Polk,48373,"54,186",39.2,15.4,32.4
VA,Virginia,Washington,51191,"54,050",38.3,13.8,27.0
NM,New Mexico,Sandoval,35043,"155,936",32.6,11.8,22.1
TX,Texas,Crosby,48107,"4,917",40.5,17.1,37.0
NE,Nebraska,Furnas,31065,"4,556",44.4,13.5,29.1
KS,Kansas,Douglas,20045,"120,553",30.5,8.4,18.8
IL,Illinois,Stephenson,17177,"43,105",40.6,13.9,26.8
GA,Georgia,Taylor,13269,"7,758",42.4,20.2,38.3
LA,Louisiana,Vermilion,22113,"56,992",42.8,15.0,32.1
TX,Texas,Wilson,48493,"54,183",35.3,13.1,26.6
KS,Kansas,Stanton,20187,"1,901",39.5,14.7,35.4
OH,Ohio,Hamilton,39061,"827,058",35.6,13.2,24.4
SD,South Dakota,Roberts,46109,"10,206",43.0,16.3,31.7
MD,Maryland,Calvert,24009,"94,728",36.3,10.9,19.8
AR,Arkansas,Cross,05037,"16,420",45.0,16.1,38.6
NY,New York,Cortland,36023,"45,752",30.5,9.3,23.8
MN,Minnesota,Waseca,27161,"18,981",39.1,11.4,26.4
TN,Tennessee,Carter,47019,"57,022",37.9,15.9,31.4
NC,North Carolina,Franklin,37069,"77,001",38.8,12.8,25.0
GA,Georgia,Bibb,13021,"156,512",44.7,16.9,32.2
WA,Washington,Douglas,53017,"44,798",35.8,11.0,23.0
SD,South Dakota,Beadle,46005,"19,591",35.4,13.4,29.7
MS,Mississippi,Tunica,28143,"9,234",51.0,21.4,45.1
SD,South Dakota,Brown,46013,"37,733",35.1,11.2,24.4
SC,South Carolina,McCormick,45065,"9,941",36.9,20.6,30.6
TX,Texas,Sabine,48403,"10,106",35.5,16.6,30.7
SD,South Dakota,Kingsbury,46077,"5,276",35.6,12.1,24.6
MO,Missouri,Washington,29221,"23,534",41.9,14.8,35.3
NE,Nebraska,Hitchcock,31087,"2,552",41.6,13.4,29.8
OR,Oregon,Clackamas,41005,"423,173",34.0,10.5,19.7
KS,Kansas,Osage,20139,"15,824",41.8,12.5,28.2
OK,Oklahoma,Latimer,40077,"9,526",42.3,17.0,37.9
MD,Maryland,Somerset,24039,"24,910",38.4,14.2,31.3
IN,Indiana,Rush,18139,"16,847",39.1,14.3,27.7
IA,Iowa,Greene,19073,"8,584",35.8,13.1,28.2
VA,Virginia,Buckingham,51029,"16,978",43.6,16.6,30.9
OH,Ohio,Belmont,39013,"64,918",40.9,14.5,32.1
TX,Texas,Wheeler,48483,"4,804",37.2,14.7,30.8
IL,Illinois,Jasper,17079,"9,144",38.2,12.0,23.2
TX,Texas,Burleson,48051,"19,475",35.9,14.0,28.7
IL,Illinois,Will,17197,"700,728",38.0,10.7,24.0
MI,Michigan,Calhoun,26025,"133,366",42.5,13.3,27.8
TN,Tennessee,Lincoln,47103,"36,169",40.5,14.8,28.8
CO,Colorado,Lake,08065,"7,365",23.9,8.4,17.0
MS,Mississippi,Lincoln,28085,"34,702",40.5,15.7,34.9
MO,Missouri,Holt,29087,"4,248",36.6,14.1,33.3
TX,Texas,Hall,48191,"2,818",39.1,17.5,34.4
IA,Iowa,Pottawattamie,19155,"93,179",39.1,11.7,27.4
WI,Wisconsin,Vernon,55123,"31,170",38.8,12.9,29.6
OH,Ohio,Knox,39083,"63,320",37.1,12.6,27.6
IN,Indiana,Vanderburgh,18163,"179,810",38.2,12.8,26.2
MT,Montana,Rosebud,30087,"8,160",39.5,13.6,27.4
OK,Oklahoma,Bryan,40013,"48,967",40.0,13.4,34.1
GA,Georgia,Gwinnett,13135,"983,526",34.9,12.6,27.3
IA,Iowa,Wayne,19185,"6,557",40.6,13.1,29.3
OH,Ohio,Defiance,39039,"38,315",35.3,13.3,27.8
LA,Louisiana,West Carroll,22123,"9,323",40.1,16.5,33.7
CA,California,San Diego,06073,"3,269,973",25.3,10.0,20.6
IL,Illinois,Clark,17023,"15,088",37.3,12.0,23.2
VA,Virginia,Harrisonburg,51660,"51,082",34.0,10.2,25.9
GA,Georgia,Banks,13011,"19,789",34.5,13.8,29.2
KS,Kansas,Thomas,20193,"7,865",35.0,10.2,24.9
CO,Colorado,Washington,08121,"4,855",26.4,10.5,20.2
AR,Arkansas,Franklin,05047,"17,468",39.8,14.6,35.5
UT,Utah,Sanpete,49039,"30,277",29.2,10.4,20.5
WV,West Virginia,McDowell,54047,"17,439",46.2,21.6,45.0
ID,Idaho,Boundary,16021,"13,557",33.3,12.6,26.0
NH,New Hampshire,Sullivan,33019,"43,969",33.5,11.2,24.6
TX,Texas,Ector,48135,"164,494",40.0,12.8,31.8
OR,Oregon,Wheeler,41069,"1,436",35.8,16.5,25.8
TX,Texas,Tyler,48457,"20,382",38.7,15.3,33.1
MS,Mississippi,Jefferson Davis,28065,"10,969",45.4,21.8,41.6
TX,Texas,Hill,48217,"38,101",36.9,14.2,30.4
ND,North Dakota,Mountrail,38061,"9,383",42.2,12.8,29.8
CO,Colorado,Routt,08107,"25,064",23.7,8.3,15.3
MS,Mississippi,Warren,28149,"42,298",43.8,16.2,32.9
WY,Wyoming,Weston,56045,"6,808",35.7,12.6,28.3
TX,Texas,Bastrop,48021,"110,778",40.2,13.4,31.3
OH,Ohio,Montgomery,39113,"533,796",37.0,14.5,29.3
CA,California,San Luis Obispo,06079,"281,639",26.1,10.0,20.1
AL,Alabama,Bibb,01007,"21,868",43.9,16.2,33.3
NE,Nebraska,Platte,31141,"34,609",41.8,11.9,27.2
MN,Minnesota,Morrison,27097,"34,250",37.2,12.0,26.4
WA,Washington,Grays Harbor,53027,"77,290",37.0,13.6,23.8
SD,South Dakota,Haakon,46055,"1,851",33.7,13.5,26.8
MI,Michigan,Clare,26035,"31,316",40.5,15.4,30.4
WA,Washington,Snohomish,53061,"844,761",30.6,9.1,17.8
MO,Missouri,Butler,29023,"41,948",41.1,15.3,37.7
CO,Colorado,Fremont,08043,"50,318",30.6,11.4,22.9
IA,Iowa,Madison,19121,"16,971",37.2,10.5,22.8
GA,Georgia,Putnam,13237,"23,129",39.4,17.1,30.6
WV,West Virginia,Calhoun,54013,"5,959",40.8,21.1,41.2
OK,Oklahoma,Garfield,40047,"62,023",41.7,12.6,32.0
GA,Georgia,Echols,13101,"3,709",38.3,13.6,30.6
OK,Oklahoma,Washita,40149,"10,736",39.5,13.4,32.5
GA,Georgia,Decatur,13087,"29,087",42.2,17.8,34.6
CA,California,Tuolumne,06109,"54,204",29.0,12.1,23.0
AK,Alaska,Kenai Peninsula,02122,"61,223",32.3,9.8,21.5
IL,Illinois,McLean,17113,"170,441",34.5,9.5,19.4
NE,Nebraska,Greeley,31077,"2,219",34.7,12.6,28.5
KS,Kansas,Graham,20065,"2,376",36.7,14.3,29.9
AR,Arkansas,Poinsett,05111,"22,397",41.4,14.6,38.7
TX,Texas,Montgomery,48339,"711,354",31.8,11.4,23.5
NC,North Carolina,Sampson,37163,"59,601",41.8,15.6,30.6
AL,Alabama,Jackson,01071,"53,467",39.3,16.0,32.5
NM,New Mexico,Eddy,35015,"60,275",39.8,11.6,26.7
OH,Ohio,Franklin,39049,"1,326,063",33.7,11.8,23.7
VA,Virginia,James City,51095,"82,654",32.1,12.5,21.1
IL,Illinois,Marshall,17123,"11,683",38.6,13.0,25.1
TN,Tennessee,Sequatchie,47153,"17,161",39.4,16.7,32.5
MO,Missouri,Pemiscot,29155,"14,613",44.9,17.9,42.1
ND,North Dakota,Eddy,38027,"2,263",38.7,13.5,27.5
MS,Mississippi,Claiborne,28021,"8,617",47.8,20.4,41.5
GA,Georgia,Lamar,13171,"20,401",36.6,13.6,28.6
MT,Montana,Lincoln,30053,"21,895",37.8,14.0,27.0
WV,West Virginia,Harrison,54033,"64,639",40.2,15.6,30.4
OH,Ohio,Carroll,39019,"26,758",38.9,14.9,32.4
IN,Indiana,Franklin,18047,"23,096",40.8,13.7,26.0
NC,North Carolina,Macon,37113,"38,412",35.3,14.2,27.0
OR,Oregon,Umatilla,41059,"80,053",37.7,12.5,25.0
GA,Georgia,Monroe,13207,"30,625",34.9,13.1,25.9
IL,Illinois,Randolph,17157,"29,815",38.8,12.9,26.2
VA,Virginia,Wythe,51197,"28,104",38.8,14.3,28.2
WV,West Virginia,Preston,54077,"34,099",37.7,15.3,31.9
VT,Vermont,Orleans,50019,"27,516",33.2,10.7,23.5
MO,Missouri,Scotland,29199,"4,676",37.1,12.8,33.3
NM,New Mexico,Hidalgo,35023,"3,965",34.5,16.4,31.1
VA,Virginia,Williamsburg,51830,"15,847",31.1,9.4,21.0
NE,Nebraska,Box Butte,31013,"10,692",38.8,13.0,30.4
TX,Texas,Gray,48179,"20,916",38.5,13.9,31.6
OH,Ohio,Medina,39103,"184,042",36.3,11.9,24.2
MI,Michigan,Roscommon,26143,"23,863",39.2,15.7,28.4
NY,New York,Rockland,36087,"340,807",30.5,11.3,27.2
GA,Georgia,Coweta,13077,"155,892",35.7,12.4,24.9
NV,Nevada,Lyon,32019,"62,583",35.2,12.3,27.4
LA,Louisiana,St. Tammany,22103,"275,583",37.4,13.3,26.0
OH,Ohio,Paulding,39125,"18,706",41.3,14.1,30.8
MD,Maryland,Dorchester,24019,"32,879",41.8,16.6,29.8
MD,Maryland,Kent,24029,"19,303",35.1,13.7,24.4
ID,Idaho,Owyhee,16073,"12,722",33.4,13.4,30.7
AR,Arkansas,Newton,05101,"7,071",38.6,15.3,34.2
GA,Georgia,Twiggs,13289,"7,691",39.7,18.6,33.9
KS,Kansas,Logan,20109,"2,665",39.8,12.5,29.3
TX,Texas,Lampasas,48281,"23,262",35.1,14.0,27.8
MS,Mississippi,Smith,28129,"14,099",43.6,16.9,37.6
WV,West Virginia,Berkeley,54003,"132,440",38.7,13.5,31.1
IA,Iowa,Audubon,19009,"5,534",37.6,13.6,27.9
SC,South Carolina,Abbeville,45001,"24,434",37.6,16.9,31.0
UT,Utah,Duchesne,49013,"20,477",31.6,11.0,24.1
IL,Illinois,Sangamon,17167,"193,491",39.6,11.9,22.2
IL,Illinois,Monroe,17133,"34,957",35.5,10.1,18.6
TX,Texas,Karnes,48255,"15,018",38.9,14.0,34.1
TN,Tennessee,Houston,47083,"8,393",39.5,14.7,30.1
HI,Hawaii,Hawaii,15001,"207,615",27.2,12.5,22.3
NC,North Carolina,Caldwell,37027,"80,574",33.4,13.2,27.3
CO,Colorado,Clear Creek,08019,"9,147",23.9,9.0,15.2
MS,Mississippi,Forrest,28035,"78,208",35.8,13.1,29.8
